iter	Logloss
0	0.6246095053
1	0.5567017617
2	0.4995488931
3	0.4523528415
4	0.4146842293
5	0.3830590099
6	0.3539150031
7	0.3292461296
8	0.3091940166
9	0.2932045349
10	0.2790530893
11	0.2656278472
12	0.2534696397
13	0.2458763074
14	0.2378744966
15	0.2309711972
16	0.22381555
17	0.2175014608
18	0.2136038288
19	0.2087803843
20	0.2048810832
21	0.2013685582
22	0.1978272338
23	0.1945846151
24	0.1917539582
25	0.1898492798
26	0.1878133722
27	0.1859013556
28	0.1843259434
29	0.1833763383
30	0.1821337836
31	0.1806201395
32	0.179496895
33	0.1783814069
34	0.1773318616
35	0.176766772
36	0.1759306617
37	0.1752717042
38	0.1745483173
39	0.1739175465
40	0.1733156337
41	0.1728620377
42	0.1725564943
43	0.1719235715
44	0.171406152
45	0.1709290954
46	0.170599595
47	0.1703694475
48	0.1700788939
49	0.1697893713
50	0.1696118357
51	0.1693419123
52	0.1689972005
53	0.1686944169
54	0.1683197693
55	0.168105275
56	0.1679345481
57	0.1678141543
58	0.1677026617
59	0.1673626702
60	0.1672053369
61	0.1669565517
62	0.166801849
63	0.1666606995
64	0.166594926
65	0.1664040391
66	0.1662635035
67	0.1661593778
68	0.1660247958
69	0.1658747489
70	0.1657857626
71	0.1656748886
72	0.165588089
73	0.1654370468
74	0.165332626
75	0.1651885062
76	0.1651742255
77	0.165047274
78	0.1649710096
79	0.1649506692
80	0.1649070517
81	0.1648259483
82	0.1647387718
83	0.1646462708
84	0.1645588012
85	0.1644504433
86	0.1643535878
87	0.1642901218
88	0.1642330122
89	0.1641907162
90	0.164126976
91	0.1640403491
92	0.1639394424
93	0.163823954
94	0.163761892
95	0.163691366
96	0.1636610457
97	0.1636237627
98	0.163584777
99	0.1635368496
100	0.1635017975
101	0.1634467433
102	0.1634084486
103	0.1633323933
104	0.1632590851
105	0.1631566818
106	0.1630693941
107	0.1629994523
108	0.1629683552
109	0.1629106269
110	0.162850435
111	0.1627955086
112	0.1627551393
113	0.1627265118
114	0.1626773536
115	0.1626270972
116	0.162602388
117	0.1625807351
118	0.1625184864
119	0.1624966071
120	0.1624566677
121	0.1624323619
122	0.1624032099
123	0.1623619327
124	0.1623070661
125	0.1622530582
126	0.1622248841
127	0.1621642583
128	0.162099815
129	0.1620606845
130	0.1619992324
131	0.1619471642
132	0.1619186346
133	0.1618970352
134	0.1618815768
135	0.1618353537
136	0.1617814924
137	0.1617530103
138	0.1617125536
139	0.1616574578
140	0.1616233258
141	0.1615843608
142	0.1615619135
143	0.161540268
144	0.1615140288
145	0.1614702068
146	0.1614483641
147	0.1614206796
148	0.1613855919
149	0.1613693047
150	0.1613305172
151	0.1613063256
152	0.1612785677
153	0.1612391244
154	0.1612135209
155	0.1611783191
156	0.1611555815
157	0.1611102216
158	0.1610944932
159	0.1610565698
160	0.1610165233
161	0.1609768442
162	0.1609324984
163	0.1609081052
164	0.1608856052
165	0.1608380619
166	0.1607846107
167	0.1607529227
168	0.1607084796
169	0.1606808483
170	0.1606246867
171	0.160586947
172	0.1605419723
173	0.1605171736
174	0.1604968458
175	0.1604635174
176	0.1604427772
177	0.16041178
178	0.1603641854
179	0.160345139
180	0.1603066745
181	0.1602530571
182	0.1602335532
183	0.1602029634
184	0.1601684338
185	0.1601337969
186	0.1601002614
187	0.1600518823
188	0.1599983199
189	0.1599539026
190	0.1599434782
191	0.1598953415
192	0.1598499014
193	0.1598139994
194	0.1597851524
195	0.1597454764
196	0.1597128592
197	0.1596986766
198	0.1596834482
199	0.1596697058
