iter	Passed	Remaining
0	17	3405
1	33	3317
2	50	3343
3	67	3304
4	83	3274
5	99	3229
6	116	3202
7	132	3177
8	148	3153
9	165	3148
10	184	3167
11	201	3160
12	217	3134
13	234	3118
14	251	3099
15	268	3088
16	290	3127
17	307	3104
18	324	3090
19	341	3073
20	359	3066
21	377	3057
22	394	3036
23	411	3015
24	428	2998
25	444	2976
26	461	2957
27	477	2935
28	494	2914
29	510	2892
30	527	2877
31	544	2859
32	561	2842
33	578	2823
34	595	2806
35	612	2790
36	630	2779
37	647	2759
38	664	2743
39	681	2725
40	698	2708
41	714	2688
42	730	2668
43	747	2650
44	763	2630
45	779	2610
46	795	2589
47	812	2571
48	828	2554
49	842	2528
50	858	2509
51	875	2491
52	891	2472
53	908	2457
54	925	2438
55	947	2436
56	971	2437
57	993	2432
58	1011	2417
59	1032	2409
60	1050	2393
61	1064	2370
62	1081	2351
63	1097	2333
64	1114	2314
65	1131	2297
66	1147	2278
67	1164	2259
68	1180	2240
69	1196	2221
70	1212	2202
71	1228	2184
72	1244	2164
73	1260	2146
74	1276	2127
75	1293	2109
76	1303	2081
77	1319	2063
78	1335	2044
79	1346	2020
80	1362	2002
81	1379	1985
82	1393	1963
83	1409	1946
84	1427	1931
85	1444	1914
86	1463	1900
87	1482	1887
88	1499	1870
89	1515	1852
90	1531	1833
91	1548	1817
92	1564	1799
93	1581	1783
94	1598	1766
95	1614	1749
96	1630	1731
97	1647	1714
98	1663	1696
99	1682	1682
100	1698	1665
101	1715	1647
102	1731	1630
103	1748	1614
104	1765	1597
105	1781	1580
106	1798	1562
107	1814	1545
108	1831	1528
109	1848	1512
110	1864	1494
111	1880	1477
112	1897	1460
113	1920	1448
114	1935	1430
115	1951	1413
116	1967	1396
117	1982	1377
118	1998	1360
119	2015	1343
120	2031	1326
121	2046	1308
122	2062	1291
123	2078	1273
124	2095	1257
125	2110	1239
126	2126	1222
127	2141	1204
128	2157	1187
129	2173	1170
130	2188	1152
131	2205	1135
132	2220	1118
133	2237	1101
134	2253	1084
135	2269	1068
136	2285	1051
137	2301	1034
138	2318	1017
139	2334	1000
140	2351	984
141	2368	967
142	2384	950
143	2401	933
144	2417	917
145	2433	900
146	2452	884
147	2471	868
148	2496	854
149	2529	843
150	2548	826
151	2564	809
152	2581	793
153	2600	776
154	2617	759
155	2634	742
156	2650	725
157	2667	709
158	2684	692
159	2700	675
160	2716	658
161	2734	641
162	2747	623
163	2763	606
164	2779	589
165	2795	572
166	2808	555
167	2824	538
168	2840	521
169	2856	504
170	2871	486
171	2887	470
172	2903	453
173	2919	436
174	2935	419
175	2951	402
176	2965	385
177	2980	368
178	2996	351
179	3011	334
180	3028	317
181	3044	301
182	3060	284
183	3077	267
184	3093	250
185	3109	234
186	3125	217
187	3143	200
188	3163	184
189	3187	167
190	3203	150
191	3217	134
192	3237	117
193	3253	100
194	3270	83
195	3286	67
196	3302	50
197	3317	33
198	3333	16
199	3348	0
